"","gss_code","med_caring","med_enjoying","med_learning","med_living","med_supplying","med_div_score","med_prox_score","med_total_score","med_func_comp","med_log_func_comp","ward_name","ward_hectares","borough","ward_name2"
"1","E05000001",217,1714,124,162,525,1,0.5,1.5,548.4,6.30700494768816,"Aldersgate",8.636,"City of London","Aldersgate"
"2","E05000002",217,1714,124,162,525,1,0.4,1.4,548.4,6.30700494768816,"Aldgate",11.227,"City of London","Aldgate"
"3","E05000003",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Bassishaw",10.031,"City of London","Bassishaw"
"4","E05000004",217,1714,124,162,525,1,0.5,1.5,548.4,6.30700494768816,"Billingsgate",12.163,"City of London","Billingsgate"
"5","E05000005",217,1714,124,162,525,1,0.4,1.4,548.4,6.30700494768816,"Bishopsgate",25.271,"City of London","Bishopsgate"
"6","E05000006",217,1714,124,162,525,1,0.7,1.7,548.4,6.30700494768816,"Bread Street",9.712,"City of London","Bread Street"
"7","E05000007",217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,"Bridge",9.419,"City of London","Bridge"
"8","E05000008",217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,"Broad Street",8.188,"City of London","Broad Street"
"9","E05000009",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Candlewick",4.346,"City of London","Candlewick"
"10","E05000010",217,1714,124,162,525,1,0.2,1.2,548.4,6.30700494768816,"Castle Baynard",36.065,"City of London","Castle Baynard"
"11","E05000011",217,1714,124,162,525,1,1,2,548.4,6.30700494768816,"Cheap",8.908,"City of London","Cheap"
"12","E05000012",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Coleman Street",15.404,"City of London","Coleman Street"
"13","E05000013",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Cordwainer",6.072,"City of London","Cordwainer"
"14","E05000014",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Cornhill",6.478,"City of London","Cornhill"
"15","E05000015",217,1714,124,162,525,1,0.2,1.2,548.4,6.30700494768816,"Cripplegate",14.545,"City of London","Cripplegate"
"16","E05000016",217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,"Dowgate",9.573,"City of London","Dowgate"
"17","E05000017",217,1714,124,162,525,1,0.4,1.4,548.4,6.30700494768816,"Farringdon Within",23.152,"City of London","Farringdon Within"
"18","E05000018",217,1714,124,162,525,1,0,1,548.4,6.30700494768816,"Farringdon Without",34.348,"City of London","Farringdon Without"
"19","E05000019",217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,"Langbourn",5.633,"City of London","Langbourn"
"20","E05000020",217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,"Lime Street",5.512,"City of London","Lime Street"
"21","E05000021",217,1714,124,162,525,1,0.2,1.2,548.4,6.30700494768816,"Portsoken",6.209,"City of London","Portsoken"
"22","E05000022",217,1714,124,162,525,1,0.5,1.5,548.4,6.30700494768816,"Queenhithe",7.954,"City of London","Queenhithe"
"23","E05000023",217,1714,124,162,525,1,0.2,1.2,548.4,6.30700494768816,"Tower",19.734,"City of London","Tower"
"24","E05000024",217,1714,124,162,525,1,0.7,1.7,548.4,6.30700494768816,"Vintry",9.211,"City of London","Vintry"
"25","E05000025",217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,"Walbrook",7.152,"City of London","Walbrook"
"26","E05000026",3,2,2,2,3,0.8,0.8,1.6,2.4,0.8754687373539,"Abbey",128.292,"Barking and Dagenham","Abbey"
"27","E05000027",0,0,2,2,1,0.6,0.6,1.2,1,0,"Alibon",136.442,"Barking and Dagenham","Alibon"
"28","E05000028",2,10,0,4,12,0.8,0.8,1.6,5.4,1.68639895357023,"Becontree",128.809,"Barking and Dagenham","Becontree"
"29","E05000029",0,3,0,2,2,0.6,0.6,1.2,1.2,0.182321556793955,"Chadwell Heath",338.422,"Barking and Dagenham","Chadwell Heath"
"30","E05000030",0,3,2,2,4,0.6,0,0.8,2,0.693147180559945,"Eastbrook",345.06,"Barking and Dagenham","Eastbrook"
"31","E05000031",1,7,0,2,4,0.8,0.8,1.4,2.8,1.02961941718116,"Eastbury",143.921,"Barking and Dagenham","Eastbury"
"32","E05000032",0,3,3,3,4,0.8,0.8,1.6,1.8,0.587786664902119,"Gascoigne",113.874,"Barking and Dagenham","Gascoigne"
"33","E05000033",2,10,1,7,14,1,0.6,1.4,7.6,2.02814824729229,"Goresbrook",127.782,"Barking and Dagenham","Goresbrook"
"34","E05000034",4,21,2,8,23,1,0.4,1.4,12,2.484906649788,"Heath",200.128,"Barking and Dagenham","Heath"
"35","E05000035",5,3,0,3,2,0.8,0.6,1.4,2.8,1.02961941718116,"Longbridge",164.53,"Barking and Dagenham","Longbridge"
"36","E05000036",3,10,0,2,11,0.8,0.6,1.4,4.8,1.56861591791385,"Mayesbrook",185.642,"Barking and Dagenham","Mayesbrook"
"37","E05000037",3,6,1,3,8,0.8,0.8,1.4,4.4,1.48160454092422,"Parsloes",124.384,"Barking and Dagenham","Parsloes"
"38","E05000038",1,8,1,4,3,1,0,1,3.4,1.22377543162212,"River",354.369,"Barking and Dagenham","River"
"39","E05000039",0,3,1,2,3,0.6,0.2,1,1.8,0.587786664902119,"Thames",788.848,"Barking and Dagenham","Thames"
"40","E05000040",1,6,0,4,5,0.6,0.8,1.4,2.8,1.02961941718116,"Valence",129.284,"Barking and Dagenham","Valence"
"41","E05000041",3,10,0,5,18,0.8,0.6,1.4,7.2,1.97408102602201,"Village",214.748,"Barking and Dagenham","Village"
"42","E05000042",2,7,0,4,5,0.8,0.8,1.6,2.8,1.02961941718116,"Whalebone",155.399,"Barking and Dagenham","Whalebone"
"43","E05000043",2,7,1,2,9,0.8,0.6,1.4,4,1.38629436111989,"Brunswick Park",317.526,"Barnet","Brunswick Park"
"44","E05000044",3,8,3,8,11,1,0.6,1.4,4.2,1.43508452528932,"Burnt Oak",206.719,"Barnet","Burnt Oak"
"45","E05000045",4,9,3,4,7,0.8,0.8,1.6,7.6,2.02814824729229,"Childs Hill",309.301,"Barnet","Childs Hill"
"46","E05000046",1,8,1,3,4,1,0.6,1.5,3.8,1.33500106673234,"Colindale",263.627,"Barnet","Colindale"
"47","E05000047",3,10,2,4,6,1,0.8,1.6,5.4,1.68639895357023,"Coppetts",272.058,"Barnet","Coppetts"
"48","E05000048",4,31,4,6,20,1,0.6,1.4,13,2.56494935746154,"East Barnet",374.943,"Barnet","East Barnet"
"49","E05000049",4,21,5,6,8,1,0.6,1.6,8.8,2.17475172148416,"East Finchley",250.989,"Barnet","East Finchley"
"50","E05000050",5,6,3,4,6,1,0,1,3.6,1.28093384546206,"Edgware",555.652,"Barnet","Edgware"
"51","E05000051",1,2,1,3,0,0.6,0.6,1.2,1.4,0.336472236621213,"Finchley Church End",272.564,"Barnet","Finchley Church End"
"52","E05000052",4,6,3,4,6,0.8,0.6,1.2,3.2,1.16315080980568,"Garden Suburb",472.705,"Barnet","Garden Suburb"
"53","E05000053",0,2,1,3,1,0.8,0.8,1.4,1.4,0.336472236621213,"Golders Green",297.292,"Barnet","Golders Green"
"54","E05000054",2,6,1,4,5,1,0,1,3.6,1.28093384546206,"Hale",542.315,"Barnet","Hale"
"55","E05000055",1,10,4,9,6,1,0.6,1.6,5.4,1.68639895357023,"Hendon",283.871,"Barnet","Hendon"
"56","E05000056",1,3,1,2,1,0.8,0,0.8,1.2,0.182321556793955,"High Barnet",830.666,"Barnet","High Barnet"
"57","E05000057",2,5,1,4,4,1,0,1,2.2,0.78845736036427,"Mill Hill",938.921,"Barnet","Mill Hill"
"58","E05000058",2,7,3,3,3,0.8,0.6,1.4,3.8,1.33500106673234,"Oakleigh",331.861,"Barnet","Oakleigh"
"59","E05000059",0,2,1,3,0,0.6,0,0.8,1,0,"Totteridge",877.446,"Barnet","Totteridge"
"60","E05000060",2,3,1,3,5,0.8,0.4,1.2,3.2,1.16315080980568,"Underhill",455.053,"Barnet","Underhill"
"61","E05000061",2,2,1,4,2,0.8,0.8,1.6,1.8,0.587786664902119,"West Finchley",216.344,"Barnet","West Finchley"
"62","E05000062",1,5,1,4,3,0.8,0.6,1.4,1.4,0.336472236621213,"West Hendon",342.865,"Barnet","West Hendon"
"63","E05000063",6,17,1,7,6,1,0.6,1.4,8.8,2.17475172148416,"Woodhouse",262.117,"Barnet","Woodhouse"
"64","E05000064",1,4,1,2,4,0.8,0.6,1.4,3.2,1.16315080980568,"Barnehurst",287.74,"Bexley","Barnehurst"
"65","E05000065",0,2,1,3,2,0.6,0.4,1.2,1.6,0.470003629245736,"Belvedere",317.549,"Bexley","Belvedere"
"66","E05000066",3,6,0,5,6,0.8,0.6,1.4,4,1.38629436111989,"Blackfen and Lamorbey",168.558,"Bexley","Blackfen and Lamorbey"
"67","E05000067",1,7,0,2,6,0.8,0.6,1.4,3,1.09861228866811,"Blendon and Penhill",209.79,"Bexley","Blendon and Penhill"
"68","E05000068",2,9,1,2,10,0.8,0.8,1.4,4.6,1.52605630349505,"Brampton",196.746,"Bexley","Brampton"
"69","E05000069",0,3,1,3,1,0.8,0.4,1.2,1.4,0.336472236621213,"Christchurch",255.207,"Bexley","Christchurch"
"70","E05000070",1,1,1,3,2,0.8,0.6,1.4,1.4,0.336472236621213,"Colyers",164.393,"Bexley","Colyers"
"71","E05000071",9,34,3,8,33,1,0.2,1.2,18.8,2.9338568698359,"Crayford",397.229,"Bexley","Crayford"
"72","E05000072",0,5,0,2,5,0.6,0,0.8,2,0.693147180559945,"Cray Meadows",719.031,"Bexley","Cray Meadows"
"73","E05000073",1,8,1,3,6,0.8,0.6,1.2,3.4,1.22377543162212,"Danson Park",271.324,"Bexley","Danson Park"
"74","E05000074",1,0,1,2,1,0.8,0.6,1.4,1,0,"East Wickham",217.313,"Bexley","East Wickham"
