"","borough","population_per_square_kilometre","population_per_hectare","hectares","population"
"1","Barking and Dagenham",130477.482333,1304.77482333,3777.9,224403
"2","Barnet",122577.424329,1225.77424329,8673.7,415043
"3","Bexley",99311.580669,993.11580669,6426.2,258606
"4","Brent",190907.194988,1909.07194988,4323.5,348781
"5","Bromley",77760.4345653,777.604345653,15014.5,342548
"6","Camden",258611.334046,2586.11334046,2179.7,261083
"7","Croydon",149168.924934,1491.68924934,8652,406398
"8","Ealing",171908.021791,1719.08021791,5552.8,377917
"9","Enfield",123457.6325507,1234.576325507,8220.1,349992
"10","Greenwich",107308.644285,1073.08644285,5037.9,297039
"11","Hackney",313458.489736,3134.58489736,1906.4,294310
"12","Hammersmith and Fulham",226885.24149,2268.8524149,1715.8,201405
"13","Haringey",203623.359938,2036.23359938,2958.6,293505
"14","Harrow",136674.448605,1366.74448605,5047,265450
"15","Havering",63716.3696785,637.163696785,11446.8,271366
"16","Hillingdon",90336.4527343,903.364527343,11569.8,322493
"17","Hounslow",116918.489191,1169.18489191,5659.4,289358
"18","Islington",265821.98702,2658.2198702,1486.1,245838
"19","Kensington and Chelsea",253555.880262,2535.55880262,1239,162446
"20","Kingston upon Thames",100845.684441,1008.45684441,3724.6,186434
"21","Lambeth",279319.164698,2793.19164698,2725.4,343981
"22","Lewisham",170658.041365,1706.58041365,3532.5,323420
"23","Merton",139880.536284,1398.80536284,3760.8,216661
"24","Newham",251608.766649,2516.08766649,3867.6,370006
"25","Redbridge",157845.952416,1578.45952416,5643.6,320015
"26","Richmond upon Thames",80104.955652,801.04955652,5876.9,205051
"27","Southwark",271923.909668,2719.23909668,2989.7,334824
"28","Sutton",109573.220714,1095.73220714,4385.2,215227
"29","Tower Hamlets",279849.166,2798.49166,2156.6,334834
"30","Waltham Forest",183417.940063,1834.17940063,3881.6,295312
"31","Wandsworth",218964.169069,2189.64169069,3522,343149
"32","Westminster",353236.070861,3532.36070861,2203,264876
