"","code","borough","ward_name","year","population","hectares","square_kilometres","population_per_hectare","population_per_square_kilometre"
"1","E05000026","Barking and Dagenham","Abbey",2022,17574,127.9,1.279,137.404222,13740.4222
"2","E05000027","Barking and Dagenham","Alibon",2022,11324,136.1,1.361,83.20352682,8320.352682
"3","E05000028","Barking and Dagenham","Becontree",2022,14751,128.4,1.284,114.8831776,11488.31776
"4","E05000029","Barking and Dagenham","Chadwell Heath",2022,11240,338,3.38,33.25443787,3325.443787
"5","E05000030","Barking and Dagenham","Eastbrook",2022,10964,345.4,3.454,31.74290677,3174.290677
"6","E05000031","Barking and Dagenham","Eastbury",2022,12263,144.5,1.445,84.8650519,8486.50519
"7","E05000032","Barking and Dagenham","Gascoigne",2022,17432,113.4,1.134,153.7213404,15372.13404
"8","E05000033","Barking and Dagenham","Goresbrook",2022,12496,128,1.28,97.625,9762.5
"9","E05000034","Barking and Dagenham","Heath",2022,11832,200.5,2.005,59.01246883,5901.246883
"10","E05000035","Barking and Dagenham","Longbridge",2022,12153,164,1.64,74.10365854,7410.365854
"11","E05000036","Barking and Dagenham","Mayesbrook",2022,11317,185.1,1.851,61.13992437,6113.992437
"12","E05000037","Barking and Dagenham","Parsloes",2022,10306,124.3,1.243,82.91230893,8291.230893
"13","E05000038","Barking and Dagenham","River",2022,14146,355.2,3.552,39.82545045,3982.545045
"14","E05000039","Barking and Dagenham","Thames",2022,21082,788.4,7.884,26.74023338,2674.023338
"15","E05000040","Barking and Dagenham","Valence",2022,11709,129.3,1.293,90.55684455,9055.684455
"16","E05000041","Barking and Dagenham","Village",2022,11043,214,2.14,51.60280374,5160.280374
"17","E05000042","Barking and Dagenham","Whalebone",2022,12771,155.4,1.554,82.18146718,8218.146718
"18","E05000043","Barnet","Brunswick Park",2022,16787,317.4,3.174,52.88909893,5288.909893
"19","E05000044","Barnet","Burnt Oak",2022,20202,206.4,2.064,97.87790698,9787.790698
"20","E05000045","Barnet","Childs Hill",2022,22858,308.9,3.089,73.99805762,7399.805762
"21","E05000046","Barnet","Colindale",2022,33098,264.2,2.642,125.2763058,12527.63058
"22","E05000047","Barnet","Coppetts",2022,17726,272,2.72,65.16911765,6516.911765
"23","E05000048","Barnet","East Barnet",2022,17771,375.2,3.752,47.36407249,4736.407249
"24","E05000049","Barnet","East Finchley",2022,17268,252.4,2.524,68.41521395,6841.521395
"25","E05000050","Barnet","Edgware",2022,21591,556,5.56,38.83273381,3883.273381
"26","E05000051","Barnet","Finchley Church End",2022,17095,270.9,2.709,63.10446659,6310.446659
"27","E05000052","Barnet","Garden Suburb",2022,16831,473.1,4.731,35.57598816,3557.598816
"28","E05000053","Barnet","Golders Green",2022,23985,297.8,2.978,80.5406313,8054.06313
"29","E05000054","Barnet","Hale",2022,18741,542.2,5.422,34.56473626,3456.473626
"30","E05000055","Barnet","Hendon",2022,20159,284,2.84,70.98239437,7098.239437
"31","E05000056","Barnet","High Barnet",2022,16064,830.9,8.309,19.3332531,1933.32531
"32","E05000057","Barnet","Mill Hill",2022,25613,938.7,9.387,27.28560776,2728.560776
"33","E05000058","Barnet","Oakleigh",2022,17029,331.7,3.317,51.33855894,5133.855894
"34","E05000059","Barnet","Totteridge",2022,17730,876.8,8.768,20.22125912,2022.125912
"35","E05000060","Barnet","Underhill",2022,16592,455.2,4.552,36.44991213,3644.991213
"36","E05000061","Barnet","West Finchley",2022,17794,216.1,2.161,82.34150856,8234.150856
"37","E05000062","Barnet","West Hendon",2022,21265,342.6,3.426,62.06946877,6206.946877
"38","E05000063","Barnet","Woodhouse",2022,18844,261.2,2.612,72.143951,7214.3951
"39","E05000064","Bexley","Barnehurst",2022,11441,287,2.87,39.8641115,3986.41115
"40","E05000065","Bexley","Belvedere",2022,13709,316.1,3.161,43.36918697,4336.918697
"41","E05000066","Bexley","Blackfen and Lamorbey",2022,10973,168.7,1.687,65.04445762,6504.445762
"42","E05000067","Bexley","Blendon and Penhill",2022,11000,209.8,2.098,52.43088656,5243.088656
"43","E05000068","Bexley","Brampton",2022,11228,197.3,1.973,56.90826153,5690.826153
"44","E05000069","Bexley","Christchurch",2022,12749,254.8,2.548,50.03532182,5003.532182
"45","E05000070","Bexley","Colyers",2022,10874,164.1,1.641,66.26447288,6626.447288
"46","E05000071","Bexley","Crayford",2022,14450,396.8,3.968,36.41633065,3641.633065
"47","E05000072","Bexley","Cray Meadows",2022,12437,718.4,7.184,17.31208241,1731.208241
"48","E05000073","Bexley","Danson Park",2022,11697,271.6,2.716,43.06701031,4306.701031
"49","E05000074","Bexley","East Wickham",2022,11773,216.9,2.169,54.27846934,5427.846934
"50","E05000075","Bexley","Erith",2022,15914,475.6,4.756,33.46089151,3346.089151
"51","E05000076","Bexley","Falconwood and Welling",2022,11360,166.5,1.665,68.22822823,6822.822823
"52","E05000077","Bexley","Lesnes Abbey",2022,13178,237,2.37,55.60337553,5560.337553
"53","E05000078","Bexley","Longlands",2022,11054,259.2,2.592,42.64660494,4264.660494
"54","E05000079","Bexley","North End",2022,14025,568.9,5.689,24.65283881,2465.283881
"55","E05000080","Bexley","Northumberland Heath",2022,10756,176.3,1.763,61.00964265,6100.964265
"56","E05000081","Bexley","St Mary's",2022,11981,442.9,4.429,27.0512531,2705.12531
"57","E05000082","Bexley","St Michael's",2022,11656,144.4,1.444,80.72022161,8072.022161
"58","E05000083","Bexley","Sidcup",2022,12411,270.2,2.702,45.93264249,4593.264249
"59","E05000084","Bexley","Thamesmead East",2022,13940,483.7,4.837,28.81951623,2881.951623
"60","E05000085","Brent","Alperton",2022,18922,205.8,2.058,91.9436346,9194.36346
"61","E05000086","Brent","Barnhill",2022,17047,297.5,2.975,57.30084034,5730.084034
"62","E05000087","Brent","Brondesbury Park",2022,13326,172.2,1.722,77.38675958,7738.675958
"63","E05000088","Brent","Dollis Hill",2022,14354,229.8,2.298,62.46301131,6246.301131
"64","E05000089","Brent","Dudden Hill",2022,17229,168.2,1.682,102.431629,10243.1629
"65","E05000090","Brent","Fryent",2022,14821,265.8,2.658,55.7599699,5575.99699
"66","E05000091","Brent","Harlesden",2022,16248,111.5,1.115,145.7219731,14572.19731
"67","E05000092","Brent","Kensal Green",2022,15123,112.1,1.121,134.9063336,13490.63336
"68","E05000093","Brent","Kenton",2022,12853,225,2.25,57.12444444,5712.444444
"69","E05000094","Brent","Kilburn",2022,18410,94.4,0.944,195.0211864,19502.11864
"70","E05000095","Brent","Mapesbury",2022,16074,139.4,1.394,115.3084648,11530.84648
"71","E05000096","Brent","Northwick Park",2022,12390,267.3,2.673,46.35241302,4635.241302
"72","E05000097","Brent","Preston",2022,16137,239.5,2.395,67.37787056,6737.787056
"73","E05000098","Brent","Queens Park",2022,15766,148.9,1.489,105.883143,10588.3143
"74","E05000099","Brent","Queensbury",2022,19660,205,2.05,95.90243902,9590.243902
"75","E05000100","Brent","Stonebridge",2022,20982,405.5,4.055,51.74352651,5174.352651
"76","E05000101","Brent","Sudbury",2022,16314,213,2.13,76.5915493,7659.15493
