gss_code,five_min_area,count_5m,ten_min_area,count_10m,fifteen_min_area,count_15m,twenty_min_area,count_20m,twenty_five_min_area,count_25m,twenty_five_plus_area,count_25_plus,ward_name.x,borough_name,borough_area,os_area,open_space_with_access,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,ward_name.y,ward_hectares,borough.x,ward_name2,borough.y,ward_name,year,population,hectares,square_kilometres,population_per_hectare,population_per_square_kilometre
E05000003,10000.570006,"1",50000.17996431,"5",29998.07999052,"3",,,,,,,,,,,,217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,Bassishaw,10.031,City of London,Bassishaw,,,,,,,,
E05000008,10000.5800061,"1",9999.74999441,"1",49999.36003503,"5",,,,,,,,,,,,217,1714,124,162,525,1,0.6,1.6,548.4,6.30700494768816,Broad Street,8.188,City of London,Broad Street,,,,,,,,
E05000011,50001.2300072,"5",30000.069995,"3",9999.7499945,"1",,,,,,,,,,,,217,1714,124,162,525,1,1,2,548.4,6.30700494768816,Cheap,8.908,City of London,Cheap,,,,,,,,
E05000012,19999.48998941,"2",69997.54999912,"7",50001.21000661,"5",,,,,,,,,,,,217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,Coleman Street,15.404,City of London,Coleman Street,,,,,,,,
E05000013,20000.32000089,"2",50002.02001851,"5",,,,,,,,,,,,,,217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,Cordwainer,6.072,City of London,Cordwainer,,,,,,,,
E05000025,30000.07999529,"3",50000.38999582,"5",,,,,,,,,,,,,,217,1714,124,162,525,1,0.8,1.8,548.4,6.30700494768816,Walbrook,7.152,City of London,Walbrook,,,,,,,,
E05000026,260000.15999939,"26",659999.25995769,"66",269998.26005252,"27",100002.41001371,"10",9999.74999469,"1",,,Abbey,Barking and Dagenham,1282926.21,281071.1886,87115.55,3,2,2,2,3,0.8,0.8,1.6,2.4,0.8754687373539,Abbey,128.292,Barking and Dagenham,Abbey,Barking and Dagenham,Abbey,"2022","17574",127.9,1.279,137.404222,13740.4222
E05000027,100000.58004174,"10",269998.21997301,"27",400001.60999156,"40",460000.88997169,"46",69999.87998549,"7",80002.90002491,"8",Alibon,Barking and Dagenham,1364441.76,281373.1256,234904.67,0,0,2,2,1,0.6,0.6,1.2,1,0,Alibon,136.442,Barking and Dagenham,Alibon,Barking and Dagenham,Alibon,"2022","11324",136.1,1.361,83.20352682,8320.352682
E05000028,279999.04001068,"28",750003.0799026,"75",230003.86998055,"23",40000.6400007,"4",20000.31000091,"2",,,Becontree,Barking and Dagenham,1288084.575,24286.16097,8815.45,2,10,0,4,12,0.8,0.8,1.6,5.4,1.68639895357023,Becontree,128.809,Barking and Dagenham,Becontree,Barking and Dagenham,Becontree,"2022","14751",128.4,1.284,114.8831776,11488.31776
E05000029,239994.83002792,"24",700004.70999494,"70",1099997.69005557,"110",590003.31998093,"59",220000.52004145,"22",510004.26994886,"51",Chadwell Heath,Barking and Dagenham,3384193.065,1894285.398,1135815.25,0,3,0,2,2,0.6,0.6,1.2,1.2,0.182321556793955,Chadwell Heath,338.422,Barking and Dagenham,Chadwell Heath,Barking and Dagenham,Chadwell Heath,"2022","11240",338,3.38,33.25443787,3325.443787
E05000030,310000.98002221,"31",549997.44993005,"55",170004.65000242,"17",349999.20007382,"35",189999.27997237,"19",1910000.64998555,"191",Eastbrook,Barking and Dagenham,3450575.57,1740269.456,1216682.22,0,3,2,2,4,0.6,0,0.8,2,0.693147180559945,Eastbrook,345.06,Barking and Dagenham,Eastbrook,Barking and Dagenham,Eastbrook,"2022","10964",345.4,3.454,31.74290677,3174.290677
E05000031,210001.74000813,"21",580000.98992113,"58",320003.91001533,"32",270001.93999924,"27",60000.96000261,"6",19999.32995663,"2",Eastbury,Barking and Dagenham,1439218.44,246234.952,164664.81,1,7,0,2,4,0.8,0.8,1.4,2.8,1.02961941718116,Eastbury,143.921,Barking and Dagenham,Eastbury,Barking and Dagenham,Eastbury,"2022","12263",144.5,1.445,84.8650519,8486.50519
E05000032,369999.73002545,"37",550000.2000439,"55",150000.12002654,"15",10000.5800061,"1",10000.5700059,"1",,,Gascoigne,Barking and Dagenham,1138715.375,236677.3572,176571.24,0,3,3,3,4,0.8,0.8,1.6,1.8,0.587786664902119,Gascoigne,113.874,Barking and Dagenham,Gascoigne,Barking and Dagenham,Gascoigne,"2022","17432",113.4,1.134,153.7213404,15372.13404
E05000033,89996.02994564,"9",170003.13001073,"17",389998.00002042,"39",230001.44003044,"23",140000.83997805,"14",199999.38003031,"20",Goresbrook,Barking and Dagenham,1277823.335,179899.1694,124456.2,2,10,1,7,14,1,0.6,1.4,7.6,2.02814824729229,Goresbrook,127.782,Barking and Dagenham,Goresbrook,Barking and Dagenham,Goresbrook,"2022","12496",128,1.28,97.625,9762.5
E05000034,79999.26007943,"8",259997.31998422,"26",589999.25994083,"59",329999.78995085,"33",179999.18006058,"18",540001.46992857,"54",Heath,Barking and Dagenham,2001300.145,727070.1308,536897.76,4,21,2,8,23,1,0.4,1.4,12,2.484906649788,Heath,200.128,Barking and Dagenham,Heath,Barking and Dagenham,Heath,"2022","11832",200.5,2.005,59.01246883,5901.246883
E05000035,209996.49004107,"21",430004.73008158,"43",519998.46994433,"52",239993.88997,"24",130002.31997776,"13",109998.31994976,"11",Longbridge,Barking and Dagenham,1645285.21,465985.8929,313717.19,5,3,0,3,2,0.8,0.6,1.4,2.8,1.02961941718116,Longbridge,164.53,Barking and Dagenham,Longbridge,Barking and Dagenham,Longbridge,"2022","12153",164,1.64,74.10365854,7410.365854
E05000036,189999.41000147,"19",570000.75999544,"57",550004.72008161,"55",319996.23990048,"32",89998.20006405,"9",170000.6699765,"17",Mayesbrook,Barking and Dagenham,1856440.06,830891.2869,719990.83,3,10,0,2,11,0.8,0.6,1.4,4.8,1.56861591791385,Mayesbrook,185.642,Barking and Dagenham,Mayesbrook,Barking and Dagenham,Mayesbrook,"2022","11317",185.1,1.851,61.13992437,6113.992437
E05000037,219997.72010969,"22",430002.10993325,"43",399997.32006933,"40",110001.14996549,"11",59999.97004123,"6",9999.74999469,"1",Parsloes,Barking and Dagenham,1243845.06,216439.7432,170374.71,3,6,1,3,8,0.8,0.8,1.4,4.4,1.48160454092422,Parsloes,124.384,Barking and Dagenham,Parsloes,Barking and Dagenham,Parsloes,"2022","10306",124.3,1.243,82.91230893,8291.230893
E05000038,180000.2400227,"18",389996.51994744,"39",409998.32002262,"41",240002.66001375,"24",69998.8900246,"7",1829992.04002764,"183",River,Barking and Dagenham,3543674.04,725951.1167,510530.98,1,8,1,4,3,1,0,1,3.4,1.22377543162212,River,354.369,Barking and Dagenham,River,Barking and Dagenham,River,"2022","14146",355.2,3.552,39.82545045,3982.545045
E05000039,379997.7000784,"38",1010001.05993608,"101",1029994.09013705,"103",690000.31983205,"69",640001.82005306,"64",2940002.97002912,"294",Thames,Barking and Dagenham,7888493.085,3457706.216,3025594.63,0,3,1,2,3,0.6,0.2,1,1.8,0.587786664902119,Thames,788.848,Barking and Dagenham,Thames,Barking and Dagenham,Thames,"2022","21082",788.4,7.884,26.74023338,2674.023338
